PeakID (cmd=annotatePeaks.pl SPT5.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1235	XIV	726021	726200	+	0	NA	TTS (tL(UAA)N)	tRNA-TTS (tL(UAA)N)	107	tL(UAA)N	tL(UAA)N	tL(UAA)N			tL(UAA)N			tRNA
Interval_786	X	268400	268802	+	0	NA	promoter-TSS (YJL088W)	protein_coding-promoter-TSS (YJL088W)	-198	YJL088W	YJL088W	YJL088W			ARG3			protein_coding
Interval_1329	XV	772308	772567	+	0	NA	promoter-TSS (YOR231W)	protein_coding-promoter-TSS (YOR231W)	-164	YOR231W	YOR231W	YOR231W			MKK1			protein_coding
Interval_1299	XV	481802	482093	+	0	NA	promoter-TSS (YOR085W)	protein_coding-promoter-TSS (YOR085W)	-86	YOR085W	YOR085W	YOR085W			OST3			protein_coding
Interval_1331	XV	796940	797346	+	0	NA	promoter-TSS (YOR246C)	protein_coding-promoter-TSS (YOR246C)	-350	YOR246C	YOR246C	YOR246C			ENV9			protein_coding
Interval_36	II	107530	107778	+	0	NA	promoter-TSS (YBL060W)	protein_coding-promoter-TSS (YBL060W)	-248	YBL061C	YBL061C	YBL061C			SKT5			protein_coding
Interval_26	II	8287	8492	+	0	NA	promoter-TSS (YBL107W-A)	protein_coding-promoter-TSS (YBL107W-A)	212	YBL108W	YBL108W	YBL108W			YBL108W			protein_coding
Interval_971	XII	586009	586277	+	0	NA	promoter-TSS (YLR223C)	protein_coding-promoter-TSS (YLR223C)	-321	YLR224W	YLR224W	YLR224W			YLR224W			protein_coding
Interval_741	VIII	497384	497673	+	0	NA	promoter-TSS (YHR198C)	protein_coding-promoter-TSS (YHR198C)	-248	YHR198C	YHR198C	YHR198C			AIM18			protein_coding
Interval_1418	XVI	456307	456715	+	0	NA	TTS (YPL053C)	protein_coding-TTS (YPL053C)	752	YPL054W	YPL054W	YPL054W			LEE1			protein_coding
Interval_684	VIII	85235	85423	+	0	NA	promoter-TSS (YHL009C)	protein_coding-promoter-TSS (YHL009C)	42	tV(AAC)H	tV(AAC)H	tV(AAC)H			tV(AAC)H			tRNA
Interval_363	IX	102353	102587	+	0	NA	promoter-TSS (YIL130W)	protein_coding-promoter-TSS (YIL130W)	-235	YIL131C	YIL131C	YIL131C			FKH1			protein_coding
Interval_881	XI	317149	317450	+	0	NA	promoter-TSS (YKL064W)	protein_coding-promoter-TSS (YKL064W)	-242	YKL065C	YKL065C	YKL065C			YET1			protein_coding
Interval_667	VII	1025682	1027200	+	0	NA	promoter-TSS (YGR267C)	protein_coding-promoter-TSS (YGR267C)	-195	YGR269W	YGR269W	YGR269W			YGR269W			protein_coding
Interval_1249	XV	55173	55813	+	0	NA	promoter-TSS (YOL141W)	protein_coding-promoter-TSS (YOL141W)	-65	YOL142W	YOL142W	YOL142W			RRP40			protein_coding
Interval_1241	XV	4	903	+	0	NA	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-132	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
Interval_1071	XIII	298215	298402	+	0	NA	promoter-TSS (YMR013W-A)	protein_coding-promoter-TSS (YMR013W-A)	1	snR73	snR73	snR73			snR73			snoRNA
Interval_1090	XIII	433402	434728	+	0	NA	promoter-TSS (YMR083W)	protein_coding-promoter-TSS (YMR083W)	-723	YMR083W	YMR083W	YMR083W			ADH3			protein_coding
Interval_896	XI	408193	408378	+	0	NA	promoter-TSS (YKL015W)	protein_coding-promoter-TSS (YKL015W)	-259	YKL015W	YKL015W	YKL015W			PUT3			protein_coding
Interval_1309	XV	579633	579937	+	0	NA	promoter-TSS (YOR136W)	protein_coding-promoter-TSS (YOR136W)	-465	YOR136W	YOR136W	YOR136W			IDH2			protein_coding
Interval_723	VIII	379748	379993	+	0	NA	promoter-TSS (YHR139C)	protein_coding-promoter-TSS (YHR139C)	549	YHR139C-A	YHR139C-A	YHR139C-A			YHR139C-A			protein_coding
Interval_1244	XV	27484	28104	+	0	NA	TTS (YOL155C)	protein_coding-TTS (YOL155C)	710	YOL155W-A	YOL155W-A	YOL155W-A			YOL155W-A			protein_coding
Interval_532	VI	223846	227013	+	0	NA	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	529	YFR034C	YFR034C	YFR034C			PHO4			protein_coding
Interval_655	VII	953651	953912	+	0	NA	promoter-TSS (YGR231C)	protein_coding-promoter-TSS (YGR231C)	-179	YGR232W	YGR232W	YGR232W			NAS6			protein_coding
Interval_1240	XIV	783384	784245	+	0	NA	promoter-TSS (YNR077C)	protein_coding-promoter-TSS (YNR077C)	-273	YNR077C	YNR077C	YNR077C			YNR077C			protein_coding
Interval_503	V	490863	491573	+	0	NA	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-269	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
Interval_622	VII	709147	709411	+	0	NA	TTS (YGR109W-A)	protein_coding-TTS (YGR109W-A)	1669	YGR109W-A	YGR109W-A	YGR109W-A			YGR109W-A			protein_coding
Interval_1049	XIII	119039	119705	+	0	NA	promoter-TSS (YML075C)	protein_coding-promoter-TSS (YML075C)	-474	YML075C	YML075C	YML075C			HMG1			protein_coding
Interval_1358	XV	1009624	1010071	+	0	NA	promoter-TSS (YOR357C)	protein_coding-promoter-TSS (YOR357C)	-135	YOR357C	YOR357C	YOR357C			SNX3			protein_coding
Interval_7	I	45337	45821	+	0	NA	promoter-TSS (YAL053W)	protein_coding-promoter-TSS (YAL053W)	-320	YAL053W	YAL053W	YAL053W			FLC2			protein_coding
Interval_644	VII	865863	866194	+	0	NA	promoter-TSS (YGR184C)	protein_coding-promoter-TSS (YGR184C)	-275	YGR184C	YGR184C	YGR184C			UBR1			protein_coding
Interval_201	IV	245476	245963	+	0	NA	promoter-TSS (YDL120W)	protein_coding-promoter-TSS (YDL120W)	-137	YDL121C	YDL121C	YDL121C			YDL121C			protein_coding
Interval_573	VII	368303	368654	+	0	NA	promoter-TSS (YGL073W)	protein_coding-promoter-TSS (YGL073W)	-275	YGL073W	YGL073W	YGL073W			HSF1			protein_coding
Interval_523	VI	103387	103632	+	0	NA	promoter-TSS (YFL017W-A)	protein_coding-promoter-TSS (YFL017W-A)	-190	YFL017W-A	YFL017W-A	YFL017W-A			SMX2			protein_coding
Interval_550	VII	144240	144632	+	0	NA	promoter-TSS (YGL191W)	protein_coding-promoter-TSS (YGL191W)	-372	YGL191W	YGL191W	YGL191W			COX13			protein_coding
Interval_1009	XII	818521	819284	+	0	NA	promoter-TSS (YLR344W)	protein_coding-promoter-TSS (YLR344W)	293	tR(CCG)L	tR(CCG)L	tR(CCG)L			TRR4			tRNA
Interval_149	III	167932	168440	+	0	NA	promoter-TSS (YCR027C)	protein_coding-promoter-TSS (YCR027C)	186	tQ(UUG)C	tQ(UUG)C	tQ(UUG)C			tQ(UUG)C			tRNA
Interval_115	II	706920	707298	+	0	NA	promoter-TSS (YBR243C)	protein_coding-promoter-TSS (YBR243C)	-316	YBR243C	YBR243C	YBR243C			ALG7			protein_coding
Interval_1135	XIII	867459	867671	+	0	NA	promoter-TSS (YMR300C)	protein_coding-promoter-TSS (YMR300C)	-474	YMR300C	YMR300C	YMR300C			ADE4			protein_coding
Interval_292	IV	1055827	1056291	+	0	NA	promoter-TSS (YDR297W)	protein_coding-promoter-TSS (YDR297W)	-492	YDR297W	YDR297W	YDR297W			SUR2			protein_coding
Interval_435	V	61069	61493	+	0	NA	promoter-TSS (YEL050C)	protein_coding-promoter-TSS (YEL050C)	-71	snR67	snR67	snR67			snR67			snoRNA
Interval_1218	XIV	559035	560008	+	0	NA	promoter-TSS (YNL036W)	protein_coding-promoter-TSS (YNL036W)	-293	YNL036W	YNL036W	YNL036W			NCE103			protein_coding
Interval_141	III	122533	124151	+	0	NA	promoter-TSS (YCR006C)	protein_coding-promoter-TSS (YCR006C)	306	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
Interval_940	XII	241787	242093	+	0	NA	promoter-TSS (YLR047C)	protein_coding-promoter-TSS (YLR047C)	-292	YLR048W	YLR048W	YLR048W			RPS0B			protein_coding
Interval_1183	XIV	339419	340432	+	0	NA	promoter-TSS (YNL157W)	protein_coding-promoter-TSS (YNL157W)	313	YNL158W	YNL158W	YNL158W			PGA1			protein_coding
Interval_1341	XV	877770	878286	+	0	NA	promoter-TSS (YOR298C-A)	protein_coding-promoter-TSS (YOR298C-A)	-343	YOR298C-A	YOR298C-A	YOR298C-A			MBF1			protein_coding
Interval_977	XII	633350	633566	+	0	NA	promoter-TSS (YLR247C)	protein_coding-promoter-TSS (YLR247C)	-104	YLR247C	YLR247C	YLR247C			IRC20			protein_coding
Interval_296	IV	1080404	1080900	+	0	NA	promoter-TSS (YDR309C)	protein_coding-promoter-TSS (YDR309C)	-453	YDR309C	YDR309C	YDR309C			GIC2			protein_coding
Interval_76	II	414589	415773	+	0	NA	promoter-TSS (YBR084C-A)	protein_coding-promoter-TSS (YBR084C-A)	80	YBR084C-A	YBR084C-A	YBR084C-A			RPL19A			protein_coding
Interval_267	IV	807940	808225	+	0	NA	promoter-TSS (YDR172W)	protein_coding-promoter-TSS (YDR172W)	-242	YDR172W	YDR172W	YDR172W			SUP35			protein_coding
Interval_60	II	290066	290382	+	0	NA	TTS (YBR025C)	protein_coding-TTS (YBR025C)	779	YBR024W	YBR024W	YBR024W			SCO2			protein_coding
Interval_534	VI	251553	252347	+	0	NA	promoter-TSS (YFR051C)	protein_coding-promoter-TSS (YFR051C)	-147	YFR051C	YFR051C	YFR051C			RET2			protein_coding
Interval_486	V	396289	396661	+	0	NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-294	YER117W	YER117W	YER117W			RPL23B			protein_coding
Interval_1199	XIV	426977	427519	+	0	NA	promoter-TSS (YNL103W)	protein_coding-promoter-TSS (YNL103W)	-487	YNL103W	YNL103W	YNL103W			MET4			protein_coding
Interval_527	VI	191181	191646	+	0	NA	TTS (YFR019W)	protein_coding-TTS (YFR019W)	200	tS(GCU)F	tS(GCU)F	tS(GCU)F			tS(GCU)F			tRNA
Interval_223	IV	437737	438127	+	0	NA	promoter-TSS (YDL007W)	protein_coding-promoter-TSS (YDL007W)	-115	YDL007W	YDL007W	YDL007W			RPT2			protein_coding
Interval_926	XII	63842	64099	+	0	NA	promoter-TSS (YLL040C)	protein_coding-promoter-TSS (YLL040C)	-325	YLL040C	YLL040C	YLL040C			VPS13			protein_coding
Interval_50	II	227171	227640	+	0	NA	promoter-TSS (YBL004W)	protein_coding-promoter-TSS (YBL004W)	-231	YBL004W	YBL004W	YBL004W			UTP20			protein_coding
Interval_620	VII	702741	703187	+	0	NA	promoter-TSS (YGR108W)	protein_coding-promoter-TSS (YGR108W)	297	YGR107W	YGR107W	YGR107W			YGR107W			protein_coding
Interval_1193	XIV	392490	392750	+	0	NA	promoter-TSS (YNL124W)	protein_coding-promoter-TSS (YNL124W)	-272	YNL124W	YNL124W	YNL124W			NAF1			protein_coding
Interval_937	XII	202712	202888	+	0	NA	promoter-TSS (YLR029C)	protein_coding-promoter-TSS (YLR029C)	-210	YLR029C	YLR029C	YLR029C			RPL15A			protein_coding
Interval_20	I	189997	190773	+	0	NA	exon (YAR035W, exon 1 of 1)	protein_coding-exon (YAR035W, exon 1 of 1)	192	YAR035W	YAR035W	YAR035W			YAT1			protein_coding
Interval_21	I	198354	198701	+	0	NA	Intergenic	Intergenic	3260	YAR047C	YAR047C	YAR047C			YAR047C			protein_coding
Interval_1008	XII	808823	809510	+	0	NA	promoter-TSS (YLR342W)	protein_coding-promoter-TSS (YLR342W)	-831	YLR342W	YLR342W	YLR342W			FKS1			protein_coding
Interval_66	II	350850	351071	+	0	NA	promoter-TSS (YBR056W-A)	protein_coding-promoter-TSS (YBR056W-A)	133	tQ(UUG)B	tQ(UUG)B	tQ(UUG)B			tQ(UUG)B			tRNA
Interval_1167	XIV	172798	173223	+	0	NA	promoter-TSS (YNL252C)	protein_coding-promoter-TSS (YNL252C)	-724	YNL252C	YNL252C	YNL252C			MRPL17			protein_coding
Interval_809	X	465744	466389	+	0	NA	promoter-TSS (YJR018W)	protein_coding-promoter-TSS (YJR018W)	142	YJR016C	YJR016C	YJR016C			ILV3			protein_coding
Interval_448	V	149950	150165	+	0	NA	promoter-TSS (YEL002C)	protein_coding-promoter-TSS (YEL002C)	-43	YEL002C	YEL002C	YEL002C			WBP1			protein_coding
Interval_1445	XVI	698694	698914	+	0	NA	promoter-TSS (YPR078C)	protein_coding-promoter-TSS (YPR078C)	-65	YPR079W	YPR079W	YPR079W			MRL1			protein_coding
Interval_1116	XIII	652033	654127	+	0	NA	promoter-TSS (YMR194C-A)	protein_coding-promoter-TSS (YMR194C-A)	56	YMR194C-A	YMR194C-A	YMR194C-A			YMR194C-A			protein_coding
Interval_357	IX	68243	69527	+	0	NA	promoter-TSS (YIL149C)	protein_coding-promoter-TSS (YIL149C)	177	YIL148W	YIL148W	YIL148W			RPL40A			protein_coding
Interval_1055	XIII	192090	192500	+	0	NA	promoter-TSS (YML042W)	protein_coding-promoter-TSS (YML042W)	-493	YML042W	YML042W	YML042W			CAT2			protein_coding
Interval_325	IV	1330823	1331029	+	0	NA	promoter-TSS (YDR434W)	protein_coding-promoter-TSS (YDR434W)	-311	YDR434W	YDR434W	YDR434W			GPI17			protein_coding
Interval_976	XII	628280	628537	+	0	NA	promoter-TSS (tL(CAA)L)	tRNA-promoter-TSS (tL(CAA)L)	25	tL(CAA)L	tL(CAA)L	tL(CAA)L			tL(CAA)L			tRNA
Interval_1096	XIII	482493	482760	+	0	NA	promoter-TSS (YMR107W)	protein_coding-promoter-TSS (YMR107W)	-388	YMR107W	YMR107W	YMR107W			SPG4			protein_coding
Interval_546	VII	110411	110973	+	0	NA	promoter-TSS (tH(GUG)G1)	tRNA-promoter-TSS (tH(GUG)G1)	4	tH(GUG)G1	tH(GUG)G1	tH(GUG)G1			tH(GUG)G1			tRNA
Interval_1142	XIII	903948	904846	+	0	NA	promoter-TSS (YMR316W)	protein_coding-promoter-TSS (YMR316W)	111	YMR315W-A	YMR315W-A	YMR315W-A			YMR315W-A			protein_coding
Interval_1163	XIV	110238	110768	+	0	NA	promoter-TSS (YNL279W)	protein_coding-promoter-TSS (YNL279W)	-92	YNL280C	YNL280C	YNL280C			ERG24			protein_coding
Interval_830	X	622670	623835	+	0	NA	promoter-TSS (YJR104C)	protein_coding-promoter-TSS (YJR104C)	-238	YJR104C	YJR104C	YJR104C			SOD1			protein_coding
Interval_671	VII	1064846	1065233	+	0	NA	promoter-TSS (YGR286C)	protein_coding-promoter-TSS (YGR286C)	-99	YGR286C	YGR286C	YGR286C			BIO2			protein_coding
Interval_209	IV	330361	330970	+	0	NA	promoter-TSS (YDL070W)	protein_coding-promoter-TSS (YDL070W)	-218	YDL072C	YDL072C	YDL072C			YET3			protein_coding
Interval_1031	XII	1064262	1065458	+	0	NA	Intergenic	Intergenic	-1096	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
Interval_103	II	613042	615763	+	0	NA	promoter-TSS (YBR196C)	protein_coding-promoter-TSS (YBR196C)	228	YBR196C-B	YBR196C-B	YBR196C-B			YBR196C-B			protein_coding
Interval_567	VII	287292	287516	+	0	NA	promoter-TSS (tW(CCA)G1)	tRNA-promoter-TSS (tW(CCA)G1)	51	tW(CCA)G1	tW(CCA)G1	tW(CCA)G1			tW(CCA)G1			tRNA
Interval_828	X	615291	615691	+	0	NA	promoter-TSS (YJR098C)	protein_coding-promoter-TSS (YJR098C)	-85	YJR099W	YJR099W	YJR099W			YUH1			protein_coding
Interval_1124	XIII	758292	759454	+	0	NA	promoter-TSS (YMR244C-A)	protein_coding-promoter-TSS (YMR244C-A)	-42	YMR244C-A	YMR244C-A	YMR244C-A			COA6			protein_coding
Interval_57	II	269707	270138	+	0	NA	promoter-TSS (YBR015C)	protein_coding-promoter-TSS (YBR015C)	-325	YBR016W	YBR016W	YBR016W			YBR016W			protein_coding
Interval_254	IV	635640	636660	+	0	NA	promoter-TSS (YDR096W)	protein_coding-promoter-TSS (YDR096W)	310	YDR094W	YDR094W	YDR094W			YDR094W			protein_coding
Interval_295	IV	1075176	1075528	+	0	NA	promoter-TSS (YDR306C)	protein_coding-promoter-TSS (YDR306C)	-181	YDR306C	YDR306C	YDR306C			YDR306C			protein_coding
Interval_1101	XIII	540147	540911	+	0	NA	promoter-TSS (YMR135C)	protein_coding-promoter-TSS (YMR135C)	-473	YMR135C	YMR135C	YMR135C			GID8			protein_coding
Interval_1089	XIII	431446	431946	+	0	NA	promoter-TSS (YMR081C)	protein_coding-promoter-TSS (YMR081C)	429	YMR082C	YMR082C	YMR082C			YMR082C			protein_coding
Interval_906	XI	558364	558675	+	0	NA	TTS (snR42)	snoRNA-TTS (snR42)	842	YKR061W	YKR061W	YKR061W			KTR2			protein_coding
Interval_1023	XII	949419	950988	+	0	NA	promoter-TSS (YLR413W)	protein_coding-promoter-TSS (YLR413W)	270	YLR412C-A	YLR412C-A	YLR412C-A			YLR412C-A			protein_coding
Interval_113	II	697484	698008	+	0	NA	promoter-TSS (YBR238C)	protein_coding-promoter-TSS (YBR238C)	-444	YBR238C	YBR238C	YBR238C			YBR238C			protein_coding
Interval_393	IX	325651	326042	+	0	NA	promoter-TSS (YIL014C-A)	protein_coding-promoter-TSS (YIL014C-A)	98	tT(AGU)I2	tT(AGU)I2	tT(AGU)I2			tT(AGU)I2			tRNA
Interval_430	V	33774	34159	+	0	NA	promoter-TSS (YEL062W)	protein_coding-promoter-TSS (YEL062W)	-441	YEL062W	YEL062W	YEL062W			NPR2			protein_coding
Interval_728	VIII	393416	393634	+	0	NA	promoter-TSS (YHR147C)	protein_coding-promoter-TSS (YHR147C)	-9	YHR148W	YHR148W	YHR148W			IMP3			protein_coding
Interval_626	VII	753858	754445	+	0	NA	promoter-TSS (YGR130C)	protein_coding-promoter-TSS (YGR130C)	-307	YGR130C	YGR130C	YGR130C			YGR130C			protein_coding
Interval_460	V	241981	242934	+	0	NA	promoter-TSS (YER045C)	protein_coding-promoter-TSS (YER045C)	-723	YER046W	YER046W	YER046W			SPO73			protein_coding
Interval_970	XII	553352	554383	+	0	NA	promoter-TSS (YLR205C)	protein_coding-promoter-TSS (YLR205C)	-190	YLR205C	YLR205C	YLR205C			HMX1			protein_coding
Interval_1353	XV	967917	968507	+	0	NA	promoter-TSS (YOR342C)	protein_coding-promoter-TSS (YOR342C)	262	YOR343C	YOR343C	YOR343C			YOR343C			protein_coding
Interval_1150	XIV	37005	37742	+	0	NA	promoter-TSS (YNL320W)	protein_coding-promoter-TSS (YNL320W)	-327	YNL320W	YNL320W	YNL320W			YNL320W			protein_coding
Interval_378	IX	207529	207700	+	0	NA	exon (YIL080W, exon 2 of 2)	pseudogene-exon (YIL080W, exon 2 of 2)	1979	YIL082W	YIL082W	YIL082W			YIL082W			protein_coding
Interval_259	IV	690639	690969	+	0	NA	promoter-TSS (YDR119W-A)	protein_coding-promoter-TSS (YDR119W-A)	-210	YDR119W-A	YDR119W-A	YDR119W-A			COX26			protein_coding
Interval_1356	XV	987290	989663	+	0	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	306	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
Interval_1426	XVI	526805	527645	+	0	NA	promoter-TSS (YPL014W)	protein_coding-promoter-TSS (YPL014W)	-322	YPL014W	YPL014W	YPL014W			YPL014W			protein_coding
Interval_1411	XVI	408886	409179	+	0	NA	promoter-TSS (YPL078C)	protein_coding-promoter-TSS (YPL078C)	-288	YPL078C	YPL078C	YPL078C			ATP4			protein_coding
Interval_1269	XV	253711	254127	+	0	NA	promoter-TSS (YOL039W)	protein_coding-promoter-TSS (YOL039W)	-342	YOL040C	YOL040C	YOL040C			RPS15			protein_coding
Interval_1460	XVI	828316	829601	+	0	NA	promoter-TSS (YPR148C)	protein_coding-promoter-TSS (YPR148C)	-818	YPR148C	YPR148C	YPR148C			YPR148C			protein_coding
Interval_1301	XV	494015	494928	+	0	NA	promoter-TSS (YOR092W)	protein_coding-promoter-TSS (YOR092W)	-656	YOR092W	YOR092W	YOR092W			ECM3			protein_coding
Interval_440	V	106314	107194	+	0	NA	promoter-TSS (YEL024W)	protein_coding-promoter-TSS (YEL024W)	-506	YEL024W	YEL024W	YEL024W			RIP1			protein_coding
Interval_1111	XIII	608335	608513	+	0	NA	promoter-TSS (YMR172C-A)	protein_coding-promoter-TSS (YMR172C-A)	-213	YMR172C-A	YMR172C-A	YMR172C-A			YMR172C-A			protein_coding
Interval_247	IV	569977	570458	+	0	NA	promoter-TSS (YDR059C)	protein_coding-promoter-TSS (YDR059C)	-432	YDR060W	YDR060W	YDR060W			MAK21			protein_coding
Interval_734	VIII	450542	453437	+	0	NA	promoter-TSS (YHR173C)	protein_coding-promoter-TSS (YHR173C)	662	YHR174W	YHR174W	YHR174W			ENO2			protein_coding
Interval_29	II	45006	45728	+	0	NA	promoter-TSS (YBL092W)	protein_coding-promoter-TSS (YBL092W)	-449	YBL093C	YBL093C	YBL093C			ROX3			protein_coding
Interval_1029	XII	1018996	1019411	+	0	NA	promoter-TSS (YLR441C)	protein_coding-promoter-TSS (YLR441C)	-295	YLR441C	YLR441C	YLR441C			RPS1A			protein_coding
Interval_148	III	163266	164297	+	0	NA	promoter-TSS (YCR024C-A)	protein_coding-promoter-TSS (YCR024C-A)	75	YCR025C	YCR025C	YCR025C			YCR025C			protein_coding
Interval_1159	XIV	88940	90156	+	0	NA	promoter-TSS (YNL288W)	protein_coding-promoter-TSS (YNL288W)	338	snR40	snR40	snR40			snR40			snoRNA
Interval_1205	XIV	466472	466685	+	0	NA	promoter-TSS (YNL085W)	protein_coding-promoter-TSS (YNL085W)	244	YNL086W	YNL086W	YNL086W			SNN1			protein_coding
Interval_507	V	544497	545568	+	0	NA	promoter-TSS (YER177W)	protein_coding-promoter-TSS (YER177W)	-579	YER177W	YER177W	YER177W			BMH1			protein_coding
Interval_230	IV	491108	491416	+	0	NA	promoter-TSS (YDR025W)	protein_coding-promoter-TSS (YDR025W)	245	YDR024W	YDR024W	YDR024W			FYV1			protein_coding
Interval_1052	XIII	145798	146377	+	0	NA	promoter-TSS (YML063W)	protein_coding-promoter-TSS (YML063W)	-211	YML064C	YML064C	YML064C			TEM1			protein_coding
Interval_243	IV	555086	555578	+	0	NA	TTS (YDR049W)	protein_coding-TTS (YDR049W)	1140	YDR050C	YDR050C	YDR050C			TPI1			protein_coding
Interval_820	X	573080	573287	+	0	NA	promoter-TSS (YJR073C)	protein_coding-promoter-TSS (YJR073C)	88	YJR074W	YJR074W	YJR074W			MOG1			protein_coding
Interval_882	XI	321768	322979	+	0	NA	promoter-TSS (YKL062W)	protein_coding-promoter-TSS (YKL062W)	-855	YKL063C	YKL063C	YKL063C			YKL063C			protein_coding
Interval_166	III	299135	299386	+	0	NA	promoter-TSS (YCR098C)	protein_coding-promoter-TSS (YCR098C)	-655	YCR098C	YCR098C	YCR098C			GIT1			protein_coding
Interval_581	VII	409490	409844	+	0	NA	promoter-TSS (YGL049C)	protein_coding-promoter-TSS (YGL049C)	-63	YGL049C	YGL049C	YGL049C			TIF4632			protein_coding
Interval_65	II	347393	347728	+	0	NA	promoter-TSS (YBR055C)	protein_coding-promoter-TSS (YBR055C)	-43	tL(UAA)B2	tL(UAA)B2	tL(UAA)B2			tL(UAA)B2			tRNA
Interval_390	IX	310900	311159	+	0	NA	promoter-TSS (YIL022W)	protein_coding-promoter-TSS (YIL022W)	-136	YIL022W	YIL022W	YIL022W			TIM44			protein_coding
Interval_244	IV	556612	557110	+	0	NA	promoter-TSS (YDR050C)	protein_coding-promoter-TSS (YDR050C)	-389	YDR050C	YDR050C	YDR050C			TPI1			protein_coding
Interval_469	V	280364	281565	+	0	NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-282	YER062C	YER062C	YER062C			GPP2			protein_coding
Interval_1068	XIII	287288	287827	+	0	NA	promoter-TSS (YMR011W)	protein_coding-promoter-TSS (YMR011W)	-522	YMR011W	YMR011W	YMR011W			HXT2			protein_coding
Interval_290	IV	1030332	1030574	+	0	NA	promoter-TSS (YDR283C)	protein_coding-promoter-TSS (YDR283C)	-404	YDR283C	YDR283C	YDR283C			GCN2			protein_coding
Interval_1062	XIII	251569	251881	+	0	NA	promoter-TSS (YML009C)	protein_coding-promoter-TSS (YML009C)	-209	YML009C	YML009C	YML009C			MRPL39			protein_coding
Interval_716	VIII	332569	332937	+	0	NA	promoter-TSS (YHR111W)	protein_coding-promoter-TSS (YHR111W)	-319	YHR111W	YHR111W	YHR111W			UBA4			protein_coding
Interval_1463	XVI	860149	860792	+	0	NA	promoter-TSS (YPR159C-A)	protein_coding-promoter-TSS (YPR159C-A)	-55	YPR159C-A	YPR159C-A	YPR159C-A			YPR159C-A			protein_coding
Interval_37	II	116597	117667	+	0	NA	promoter-TSS (YBL054W)	protein_coding-promoter-TSS (YBL054W)	-303	YBL055C	YBL055C	YBL055C			YBL055C			protein_coding
Interval_1390	XVI	202711	203104	+	0	NA	promoter-TSS (YPL181W)	protein_coding-promoter-TSS (YPL181W)	-371	YPL183C	YPL183C	YPL183C			RTT10			protein_coding
Interval_1016	XII	871435	872075	+	0	NA	promoter-TSS (YLR373C)	protein_coding-promoter-TSS (YLR373C)	58	YLR375W	YLR375W	YLR375W			STP3			protein_coding
Interval_930	XII	98862	99244	+	0	NA	promoter-TSS (YLL023C)	protein_coding-promoter-TSS (YLL023C)	-217	YLL023C	YLL023C	YLL023C			POM33			protein_coding
Interval_519	VI	81938	82430	+	0	NA	promoter-TSS (YFL026W)	protein_coding-promoter-TSS (YFL026W)	-272	YFL027C	YFL027C	YFL027C			GYP8			protein_coding
Interval_100	II	602094	602463	+	0	NA	promoter-TSS (YBR187W)	protein_coding-promoter-TSS (YBR187W)	-356	YBR187W	YBR187W	YBR187W			GDT1			protein_coding
Interval_632	VII	779940	780669	+	0	NA	promoter-TSS (YGR144W)	protein_coding-promoter-TSS (YGR144W)	-95	YGR144W	YGR144W	YGR144W			THI4			protein_coding
Interval_633	VII	785257	786038	+	0	NA	promoter-TSS (YGR146C)	protein_coding-promoter-TSS (YGR146C)	-210	YGR146C-A	YGR146C-A	YGR146C-A			YGR146C-A			protein_coding
Interval_928	XII	83464	84623	+	0	NA	promoter-TSS (YLL028W)	protein_coding-promoter-TSS (YLL028W)	-761	YLL028W	YLL028W	YLL028W			TPO1			protein_coding
Interval_1030	XII	1028061	1028912	+	0	NA	promoter-TSS (YLR447C)	protein_coding-promoter-TSS (YLR447C)	-368	YLR448W	YLR448W	YLR448W			RPL6B			protein_coding
Interval_1107	XIII	577568	577944	+	0	NA	promoter-TSS (YMR161W)	protein_coding-promoter-TSS (YMR161W)	38	YMR161W	YMR161W	YMR161W			HLJ1			protein_coding
Interval_139	III	107159	107327	+	0	NA	promoter-TSS (YCL005W)	protein_coding-promoter-TSS (YCL005W)	123	YCL007C	YCL007C	YCL007C			YCL007C			protein_coding
Interval_1451	XVI	769100	769286	+	0	NA	TTS (YPR118W)	protein_coding-TTS (YPR118W)	109	tK(UUU)P	tK(UUU)P	tK(UUU)P			tK(UUU)P			tRNA
Interval_1340	XV	866634	867172	+	0	NA	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-195	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
