# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "2" "-p" "--donotsort" "-a" "SPT5.consensus_peaks.saf" "-o" "SPT5.consensus_peaks.featureCounts.txt" "SPT5_T0_R1.mLb.clN.bam" "SPT5_T15_R2.mLb.clN.bam" "SPT5_T15_R1.mLb.clN.bam" "SPT5_T0_R2.mLb.clN.bam" 
Geneid	Chr	Start	End	Strand	Length	SPT5_T0_R1.mLb.clN.bam	SPT5_T15_R2.mLb.clN.bam	SPT5_T15_R1.mLb.clN.bam	SPT5_T0_R2.mLb.clN.bam
Interval_1000	XII	781497	781886	+	390	13	19	12	6
Interval_1001	XII	783548	784698	+	1151	45	40	52	15
Interval_1002	XII	787468	787758	+	291	11	6	6	3
Interval_1003	XII	789857	790242	+	386	7	18	12	9
Interval_1004	XII	793694	794181	+	488	12	6	5	5
Interval_1005	XII	795210	795377	+	168	7	3	2	3
Interval_1006	XII	796419	797337	+	919	37	31	16	30
Interval_1007	XII	805171	805697	+	527	13	13	9	10
Interval_1008	XII	808822	809510	+	689	44	35	30	29
Interval_1009	XII	818520	819284	+	765	28	27	27	17
Interval_1010	XII	826707	828698	+	1992	54	37	46	33
Interval_1011	XII	830437	830863	+	427	10	2	10	9
Interval_1012	XII	833419	833793	+	375	1	2	2	5
Interval_1013	XII	837547	840134	+	2588	63	35	46	55
Interval_1014	XII	848055	848321	+	267	5	2	1	0
Interval_1015	XII	853306	853675	+	370	10	3	4	2
Interval_1016	XII	871434	872075	+	642	9	19	20	5
Interval_1017	XII	875164	875547	+	384	24	10	13	12
Interval_1018	XII	877489	878154	+	666	20	35	28	22
Interval_1019	XII	903062	903665	+	604	7	11	6	10
Interval_1020	XII	921517	922588	+	1072	42	29	43	25
Interval_1021	XII	924520	925259	+	740	37	20	28	33
Interval_1022	XII	930713	932953	+	2241	49	32	46	49
Interval_1023	XII	949418	950988	+	1571	37	38	29	36
Interval_1024	XII	954085	955383	+	1299	21	48	58	8
Interval_1025	XII	962743	963628	+	886	9	9	9	7
Interval_1026	XII	1001924	1003145	+	1222	12	12	11	13
Interval_1027	XII	1011395	1012618	+	1224	28	23	44	20
Interval_1028	XII	1013403	1014340	+	938	7	15	17	7
Interval_1029	XII	1018995	1019411	+	417	12	14	9	12
Interval_1030	XII	1028060	1028912	+	853	52	28	43	44
Interval_1031	XII	1064261	1065458	+	1198	103	59	53	103
Interval_1032	XII	1071485	1071896	+	412	27	24	29	27
Interval_1033	XIII	5364	5708	+	345	14	9	10	17
Interval_1034	XIII	14573	15328	+	756	13	20	18	6
Interval_1035	XIII	16783	17131	+	349	8	18	13	4
Interval_1036	XIII	23662	24136	+	475	4	5	5	8
Interval_1037	XIII	24850	26828	+	1979	42	29	11	47
Interval_1038	XIII	29254	30425	+	1172	18	17	17	14
Interval_1039	XIII	37805	37984	+	180	1	10	6	6
Interval_1040	XIII	46417	47217	+	801	6	4	11	9
Interval_1041	XIII	50923	51532	+	610	1	8	18	4
Interval_1042	XIII	67694	68209	+	516	11	11	12	6
Interval_1043	XIII	69583	70544	+	962	39	42	55	27
Interval_1044	XIII	71845	72265	+	421	0	10	2	0
Interval_1045	XIII	73460	73766	+	307	0	2	9	1
Interval_1046	XIII	91119	92142	+	1024	24	25	31	18
Interval_1047	XIII	101409	101786	+	378	13	16	13	7
Interval_1048	XIII	104226	104645	+	420	12	8	11	7
Interval_1049	XIII	119038	119705	+	668	8	24	22	15
Interval_1050	XIII	124278	124568	+	291	17	17	14	16
Interval_1051	XIII	131661	131837	+	177	8	5	7	4
Interval_1052	XIII	145797	146377	+	581	20	27	18	22
Interval_1053	XIII	158811	160215	+	1405	21	18	26	11
Interval_1054	XIII	169914	170259	+	346	29	27	27	19
Interval_1055	XIII	192089	192500	+	412	4	8	9	3
Interval_1056	XIII	195957	196409	+	453	10	10	4	10
Interval_1057	XIII	209132	209317	+	186	2	8	7	6
Interval_1058	XIII	219832	221484	+	1653	33	36	38	15
Interval_1059	XIII	223880	224259	+	380	17	19	12	10
Interval_1060	XIII	225453	225876	+	424	23	30	19	17
Interval_1061	XIII	236247	236505	+	259	6	12	4	3
Interval_1062	XIII	251568	251881	+	314	2	3	9	7
Interval_1063	XIII	253122	253638	+	517	19	34	28	17
Interval_1064	XIII	258839	259248	+	410	14	10	11	3
Interval_1065	XIII	271492	272117	+	626	23	24	27	29
Interval_1066	XIII	279717	280114	+	398	12	10	7	10
Interval_1067	XIII	282803	283470	+	668	12	25	38	5
Interval_1068	XIII	287287	287827	+	541	25	16	30	16
Interval_1069	XIII	290904	291096	+	193	7	1	3	5
Interval_1070	XIII	296752	297054	+	303	8	9	9	9
Interval_1071	XIII	298214	298402	+	189	1	4	1	0
Interval_1072	XIII	302505	303104	+	600	12	17	23	19
Interval_1073	XIII	306021	306932	+	912	43	48	57	44
Interval_1074	XIII	321110	321773	+	664	5	12	3	2
Interval_1075	XIII	330378	330884	+	507	3	8	3	0
Interval_1076	XIII	334944	335159	+	216	9	7	9	4
Interval_1077	XIII	340968	341190	+	223	9	8	6	1
Interval_1078	XIII	346987	347963	+	977	25	38	42	12
Interval_1079	XIII	349296	350260	+	965	17	21	22	10
Interval_1080	XIII	352293	353554	+	1262	42	71	50	35
Interval_1081	XIII	355221	355430	+	210	4	2	8	2
Interval_1082	XIII	361673	363225	+	1553	24	17	14	25
Interval_1083	XIII	379140	379427	+	288	15	12	11	11
Interval_1084	XIII	388019	388652	+	634	33	41	33	32
Interval_1085	XIII	407631	408881	+	1251	61	78	76	59
Interval_1086	XIII	413027	413543	+	517	4	8	1	1
Interval_1087	XIII	420193	420729	+	537	11	21	13	7
Interval_1088	XIII	424601	424888	+	288	2	9	6	2
Interval_1089	XIII	431445	431946	+	502	10	15	28	4
Interval_1090	XIII	433401	434728	+	1328	35	54	49	31
Interval_1091	XIII	453638	453831	+	194	4	5	3	2
Interval_1092	XIII	463114	463669	+	556	10	3	5	9
Interval_1093	XIII	472854	473383	+	530	17	22	21	25
Interval_1094	XIII	477319	478902	+	1584	9	43	37	5
Interval_1095	XIII	480576	480911	+	336	7	1	2	7
Interval_1096	XIII	482492	482760	+	269	5	8	16	4
Interval_1097	XIII	504840	505036	+	197	8	8	7	8
Interval_1098	XIII	510279	511954	+	1676	49	55	44	35
Interval_1099	XIII	512783	514100	+	1318	7	19	10	8
Interval_1100	XIII	517366	517659	+	294	0	10	4	3
Interval_1101	XIII	540146	540911	+	766	47	46	67	28
Interval_1102	XIII	545731	545927	+	197	4	17	6	3
Interval_1103	XIII	551103	551905	+	803	52	44	39	43
Interval_1104	XIII	553010	553211	+	202	3	10	6	6
Interval_1105	XIII	556822	557425	+	604	27	27	42	37
Interval_1106	XIII	560592	560814	+	223	2	12	7	6
Interval_1107	XIII	577567	577944	+	378	3	6	7	2
Interval_1108	XIII	592284	592917	+	634	5	8	18	4
Interval_1109	XIII	598897	599547	+	651	5	22	11	1
Interval_1110	XIII	600855	601805	+	951	6	26	27	6
Interval_1111	XIII	608334	608513	+	180	2	14	10	6
Interval_1112	XIII	619545	619867	+	323	5	10	1	2
Interval_1113	XIII	625673	626163	+	491	7	11	10	8
Interval_1114	XIII	628001	628289	+	289	10	6	9	5
Interval_1115	XIII	637117	637364	+	248	8	9	13	6
Interval_1116	XIII	652032	654127	+	2096	75	69	80	30
Interval_1117	XIII	661701	662271	+	571	28	29	43	12
Interval_1118	XIII	667168	667376	+	209	8	6	8	3
Interval_1119	XIII	674992	675508	+	517	24	25	24	18
Interval_1120	XIII	683868	684306	+	439	2	6	13	2
Interval_1121	XIII	743546	743796	+	251	5	5	6	3
Interval_1122	XIII	751387	751775	+	389	12	12	16	6
Interval_1123	XIII	754169	754640	+	472	20	19	20	5
Interval_1124	XIII	758291	759454	+	1164	39	32	27	32
Interval_1125	XIII	763250	763502	+	253	2	11	3	2
Interval_1126	XIII	768124	768413	+	290	4	8	4	0
Interval_1127	XIII	773010	775844	+	2835	46	109	104	28
Interval_1128	XIII	777391	777902	+	512	11	11	13	12
Interval_1129	XIII	797949	798356	+	408	23	22	26	15
Interval_1130	XIII	807956	809031	+	1076	14	7	9	9
Interval_1131	XIII	835027	835233	+	207	0	11	1	0
Interval_1132	XIII	851763	852493	+	731	18	22	35	11
Interval_1133	XIII	861087	861968	+	882	25	32	23	20
Interval_1134	XIII	863484	863664	+	181	5	2	2	0
Interval_1135	XIII	867458	867671	+	214	0	4	3	5
Interval_1136	XIII	872647	873107	+	461	11	18	16	7
Interval_1137	XIII	880510	880987	+	478	13	16	17	17
Interval_1138	XIII	886392	886883	+	492	17	16	15	8
Interval_1139	XIII	895446	895683	+	238	6	3	6	1
Interval_1140	XIII	897706	897924	+	219	3	7	1	1
Interval_1141	XIII	901204	901643	+	440	9	13	11	6
Interval_1142	XIII	903947	904846	+	900	10	6	11	15
Interval_1143	XIII	905999	906195	+	197	5	9	6	3
Interval_1144	XIII	914759	915761	+	1003	37	25	30	38
Interval_1145	XIII	923374	924306	+	933	88	36	27	59
Interval_1146	XIV	6570	7336	+	767	73	29	29	62
Interval_1147	XIV	19202	19441	+	240	7	2	1	3
Interval_1148	XIV	23449	23815	+	367	10	8	4	4
Interval_1149	XIV	27444	27674	+	231	0	5	0	0
Interval_1150	XIV	37004	37742	+	739	2	6	10	3
Interval_1151	XIV	51731	51933	+	203	7	6	5	2
Interval_1152	XIV	57578	58089	+	512	16	12	7	9
Interval_1153	XIV	59855	60207	+	353	9	14	17	3
Interval_1154	XIV	62956	63680	+	725	24	30	22	23
Interval_1155	XIV	65158	65369	+	212	1	7	5	3
Interval_1156	XIV	68500	68906	+	407	9	16	10	8
Interval_1157	XIV	76700	76945	+	246	0	5	6	0
Interval_1158	XIV	87048	87666	+	619	13	16	18	13
Interval_1159	XIV	88939	90156	+	1218	23	14	20	24
Interval_1160	XIV	96136	96458	+	323	16	7	13	6
Interval_1161	XIV	104139	104942	+	804	12	10	5	13
Interval_1162	XIV	107233	107533	+	301	11	9	13	5
Interval_1163	XIV	110237	110768	+	532	10	13	9	11
Interval_1164	XIV	112671	113074	+	404	8	6	26	2
Interval_1165	XIV	116554	117061	+	508	11	12	14	13
Interval_1166	XIV	137957	138416	+	460	17	14	14	6
Interval_1167	XIV	172797	173223	+	427	4	5	3	3
Interval_1168	XIV	187414	187860	+	447	8	2	6	7
Interval_1169	XIV	198036	199104	+	1069	37	41	40	25
Interval_1170	XIV	209929	210120	+	192	11	7	7	5
Interval_1171	XIV	214542	214745	+	204	1	6	3	1
Interval_1172	XIV	217308	217679	+	372	15	23	16	6
Interval_1173	XIV	239934	240313	+	380	17	6	6	4
Interval_1174	XIV	273808	274372	+	565	2	14	27	1
Interval_1175	XIV	275861	276247	+	387	4	18	14	9
Interval_1176	XIV	281433	282049	+	617	26	18	28	15
Interval_1177	XIV	301076	302574	+	1499	37	50	42	23
Interval_1178	XIV	310094	310427	+	334	12	13	14	4
Interval_1179	XIV	317827	318568	+	742	8	8	20	2
Interval_1180	XIV	330952	331261	+	310	25	26	25	18
Interval_1181	XIV	335785	336174	+	390	9	27	24	5
Interval_1182	XIV	337902	338412	+	511	11	3	3	3
Interval_1183	XIV	339418	340432	+	1015	11	24	14	2
Interval_1184	XIV	345808	346156	+	349	5	4	3	2
Interval_1185	XIV	349791	350768	+	978	52	67	41	26
Interval_1186	XIV	351496	351762	+	267	1	4	8	2
Interval_1187	XIV	351901	352174	+	274	9	10	5	5
Interval_1188	XIV	355253	355997	+	745	39	38	42	30
Interval_1189	XIV	366209	366640	+	432	3	12	6	2
Interval_1190	XIV	370361	370646	+	286	0	4	2	3
Interval_1191	XIV	373334	374036	+	703	12	17	10	5
Interval_1192	XIV	374734	375186	+	453	20	13	10	13
Interval_1193	XIV	392489	392750	+	262	5	9	10	4
Interval_1194	XIV	398171	398419	+	249	1	6	1	1
Interval_1195	XIV	405721	405974	+	254	15	21	14	14
Interval_1196	XIV	412354	412702	+	349	11	7	6	4
Interval_1197	XIV	415584	416625	+	1042	12	4	4	19
Interval_1198	XIV	417571	417779	+	209	6	9	6	3
Interval_1199	XIV	426976	427519	+	544	29	38	42	25
Interval_1200	XIV	437474	437713	+	240	2	11	1	0
Interval_1201	XIV	440695	441233	+	539	25	42	30	17
Interval_1202	XIV	442508	442967	+	460	10	9	9	6
Interval_1203	XIV	444488	444701	+	214	13	11	8	5
Interval_1204	XIV	456031	456293	+	263	6	8	5	1
Interval_1205	XIV	466471	466685	+	215	2	6	2	0
Interval_1206	XIV	479277	480052	+	776	22	12	9	16
Interval_1207	XIV	480856	481065	+	210	6	4	5	1
Interval_1208	XIV	483168	483587	+	420	2	2	14	2
Interval_1209	XIV	490962	491393	+	432	6	18	13	6
Interval_1210	XIV	494613	495478	+	866	21	25	27	22
Interval_1211	XIV	498624	501292	+	2669	43	45	29	24
Interval_1212	XIV	502786	503537	+	752	21	42	22	18
Interval_1213	XIV	507303	507698	+	396	9	11	12	7
Interval_1214	XIV	515056	515706	+	651	3	11	3	7
Interval_1215	XIV	518791	519228	+	438	6	19	14	4
Interval_1216	XIV	525321	525959	+	639	7	10	8	5
Interval_1217	XIV	546635	547809	+	1175	22	19	18	13
Interval_1218	XIV	559034	560008	+	975	39	45	45	29
Interval_1219	XIV	560430	560777	+	348	7	7	10	9
Interval_1220	XIV	567296	568311	+	1016	12	13	11	19
Interval_1221	XIV	569413	570034	+	622	24	17	11	16
Interval_1222	XIV	576070	577016	+	947	26	30	21	25
Interval_1223	XIV	578681	579190	+	510	10	15	15	3
Interval_1224	XIV	586366	587516	+	1151	15	17	14	12
Interval_1225	XIV	602230	602448	+	219	9	8	11	5
Interval_1226	XIV	604764	605504	+	741	9	17	25	13
Interval_1227	XIV	619816	619988	+	173	9	6	8	4
Interval_1228	XIV	631336	632789	+	1454	17	23	11	30
Interval_1229	XIV	633803	634202	+	400	7	17	9	1
Interval_1230	XIV	651796	652349	+	554	18	37	31	11
Interval_1231	XIV	661992	665455	+	3464	74	71	73	74
Interval_1232	XIV	672338	672517	+	180	0	6	0	1
Interval_1233	XIV	691930	692288	+	359	3	10	2	1
Interval_1234	XIV	707884	708584	+	701	12	13	10	14
Interval_1235	XIV	726020	726200	+	181	8	1	5	2
Interval_1236	XIV	736043	736968	+	926	7	11	12	5
Interval_1237	XIV	739090	739758	+	669	18	21	35	17
Interval_1238	XIV	763098	763286	+	189	6	5	2	2
Interval_1239	XIV	764194	764435	+	242	1	0	0	5
Interval_1240	XIV	783383	784245	+	863	48	19	25	54
Interval_1241	XV	3	903	+	901	80	41	27	79
Interval_1242	XV	5046	5372	+	327	8	5	4	0
Interval_1243	XV	21084	21846	+	763	13	18	8	14
Interval_1244	XV	27483	28104	+	622	20	10	7	25
Interval_1245	XV	31542	31710	+	169	4	2	2	1
Interval_1246	XV	31813	32268	+	456	6	4	14	9
Interval_1247	XV	43402	43581	+	180	1	4	6	3
Interval_1248	XV	43585	43831	+	247	2	2	10	0
Interval_1249	XV	55172	55813	+	642	17	25	19	8
Interval_1250	XV	69063	70213	+	1151	27	21	18	16
Interval_1251	XV	79873	80207	+	335	23	23	22	10
Interval_1252	XV	81392	83685	+	2294	49	54	39	45
Interval_1253	XV	92948	93582	+	635	17	23	14	14
Interval_1254	XV	94298	94759	+	462	16	18	10	11
Interval_1255	XV	103887	104119	+	233	4	11	9	3
Interval_1256	XV	108969	110455	+	1487	113	91	78	69
Interval_1257	XV	110869	111157	+	289	13	3	4	4
Interval_1258	XV	117581	118171	+	591	9	13	15	13
Interval_1259	XV	127960	128788	+	829	17	11	16	13
Interval_1260	XV	135714	136069	+	356	2	9	5	1
Interval_1261	XV	158704	162158	+	3455	105	66	81	114
Interval_1262	XV	167963	168586	+	624	17	12	10	17
Interval_1263	XV	170157	170805	+	649	10	8	10	20
Interval_1264	XV	181143	181774	+	632	2	7	5	2
Interval_1265	XV	216108	216885	+	778	36	38	38	30
Interval_1266	XV	218362	219162	+	801	12	24	23	17
Interval_1267	XV	230038	230298	+	261	0	8	1	1
Interval_1268	XV	231921	234721	+	2801	32	63	49	29
Interval_1269	XV	253710	254127	+	418	29	34	34	31
Interval_1270	XV	255175	255480	+	306	8	8	7	1
Interval_1271	XV	267683	267976	+	294	5	10	9	4
Interval_1272	XV	273789	274893	+	1105	22	29	34	21
Interval_1273	XV	285509	285910	+	402	9	21	18	11
Interval_1274	XV	288181	288621	+	441	22	17	16	13
Interval_1275	XV	296298	296875	+	578	4	12	9	4
Interval_1276	XV	304123	305164	+	1042	39	45	49	20
Interval_1277	XV	312555	312819	+	265	4	12	8	2
Interval_1278	XV	315899	316627	+	729	28	20	19	17
Interval_1279	XV	331322	331830	+	509	1	11	1	3
Interval_1280	XV	343563	343761	+	199	2	4	2	2
Interval_1281	XV	349302	349763	+	462	6	10	10	1
Interval_1282	XV	370931	371567	+	637	5	16	11	7
Interval_1283	XV	377560	378241	+	682	12	26	24	11
Interval_1284	XV	382974	383419	+	446	5	16	13	2
Interval_1285	XV	384771	385555	+	785	12	34	27	8
Interval_1286	XV	391292	392059	+	768	20	35	25	8
Interval_1287	XV	407865	408341	+	477	5	9	11	3
Interval_1288	XV	417882	418277	+	396	6	12	9	3
Interval_1289	XV	424143	424717	+	575	20	32	44	14
Interval_1290	XV	427070	427667	+	598	9	17	10	1
Interval_1291	XV	429616	430537	+	922	5	30	17	4
Interval_1292	XV	431759	432055	+	297	8	7	6	4
Interval_1293	XV	438737	439148	+	412	5	9	8	5
Interval_1294	XV	443308	444494	+	1187	29	40	44	24
Interval_1295	XV	446195	447051	+	857	20	23	22	6
Interval_1296	XV	461606	462887	+	1282	26	45	43	15
Interval_1297	XV	471709	472496	+	788	12	12	17	7
Interval_1298	XV	479393	480485	+	1093	18	36	27	5
Interval_1299	XV	481801	482093	+	293	3	6	16	3
Interval_1300	XV	487051	487762	+	712	26	23	15	18
Interval_1301	XV	494014	494928	+	915	39	41	42	18
Interval_1302	XV	504598	505860	+	1263	35	36	36	38
Interval_1303	XV	511296	511777	+	482	25	24	29	14
Interval_1304	XV	514145	515128	+	984	18	30	29	15
Interval_1305	XV	520442	520892	+	451	14	16	35	14
Interval_1306	XV	522697	522903	+	207	2	4	2	10
Interval_1307	XV	550399	550901	+	503	0	11	2	1
Interval_1308	XV	578051	578519	+	469	4	15	19	4
Interval_1309	XV	579632	579937	+	306	8	11	8	5
Interval_1310	XV	586518	586752	+	235	3	10	7	2
Interval_1311	XV	605919	606500	+	582	8	18	12	5
Interval_1312	XV	618553	619957	+	1405	52	43	51	23
Interval_1313	XV	628184	628565	+	382	0	4	2	0
Interval_1314	XV	631865	632262	+	398	4	14	4	8
Interval_1315	XV	638689	639506	+	818	31	48	58	17
Interval_1316	XV	648530	649171	+	642	9	5	6	7
Interval_1317	XV	656663	656857	+	195	3	5	4	1
Interval_1318	XV	663477	663743	+	267	1	1	4	7
Interval_1319	XV	670878	671422	+	545	22	33	35	13
Interval_1320	XV	678889	679177	+	289	16	19	27	11
Interval_1321	XV	682186	683889	+	1704	22	28	45	18
Interval_1322	XV	689458	689696	+	239	5	4	5	2
Interval_1323	XV	700948	701779	+	832	4	26	20	4
Interval_1324	XV	716922	717173	+	252	1	7	3	1
Interval_1325	XV	742232	742605	+	374	17	18	20	21
Interval_1326	XV	757688	757880	+	193	1	8	3	2
Interval_1327	XV	761468	762583	+	1116	24	32	37	23
Interval_1328	XV	769742	770660	+	919	27	24	35	16
Interval_1329	XV	772307	772567	+	261	9	8	7	6
Interval_1330	XV	779514	780954	+	1441	46	47	48	56
Interval_1331	XV	796939	797346	+	408	14	29	23	6
Interval_1332	XV	812355	813775	+	1421	3	0	13	2
Interval_1333	XV	816922	817172	+	251	5	6	3	3
Interval_1334	XV	825168	826580	+	1413	30	36	42	19
Interval_1335	XV	831961	832725	+	765	20	16	13	26
Interval_1336	XV	834405	835106	+	702	2	8	1	1
Interval_1337	XV	836535	837310	+	776	31	38	32	21
Interval_1338	XV	841703	842598	+	896	19	13	10	7
Interval_1339	XV	849521	849951	+	431	7	2	4	5
Interval_1340	XV	866633	867172	+	540	32	26	26	33
Interval_1341	XV	877769	878286	+	518	31	22	27	16
Interval_1342	XV	880389	880874	+	486	10	12	4	2
Interval_1343	XV	881874	882512	+	639	34	39	35	27
Interval_1344	XV	891784	892173	+	390	10	13	16	6
Interval_1345	XV	901282	901631	+	350	17	19	20	21
Interval_1346	XV	903793	904462	+	670	27	19	17	25
Interval_1347	XV	907807	909175	+	1369	38	48	57	30
Interval_1348	XV	911798	912927	+	1130	41	33	31	23
Interval_1349	XV	925291	925485	+	195	6	3	8	1
Interval_1350	XV	931256	931873	+	618	11	23	24	14
Interval_1351	XV	949367	949676	+	310	9	3	10	3
Interval_1352	XV	965882	966307	+	426	2	2	1	7
Interval_1353	XV	967916	968507	+	592	17	25	31	16
Interval_1354	XV	978369	979819	+	1451	105	95	94	73
Interval_1355	XV	980728	980944	+	217	8	3	2	5
Interval_1356	XV	987289	989663	+	2375	147	131	164	95
Interval_1357	XV	1003300	1004506	+	1207	17	24	14	15
Interval_1358	XV	1009623	1010071	+	449	6	14	15	7
Interval_1359	XV	1010695	1010928	+	234	4	5	2	0
Interval_1360	XV	1017731	1019425	+	1695	7	14	26	10
Interval_1361	XV	1028822	1029009	+	188	3	11	4	3
Interval_1362	XV	1039254	1039719	+	466	11	17	23	8
Interval_1363	XV	1042943	1043690	+	748	26	21	14	17
Interval_1364	XV	1044426	1044617	+	192	5	7	7	2
Interval_1365	XV	1050797	1050975	+	179	5	1	2	1
Interval_1366	XV	1064480	1064938	+	459	9	10	9	2
Interval_1367	XV	1084225	1084483	+	259	6	6	4	12
Interval_1368	XVI	6541	6915	+	375	10	5	7	8
Interval_1369	XVI	22106	22747	+	642	12	13	8	14
Interval_1370	XVI	24581	24915	+	335	10	10	13	3
Interval_1371	XVI	29898	30399	+	502	8	11	7	7
Interval_1372	XVI	40243	40997	+	755	31	31	48	22
Interval_1373	XVI	55956	56521	+	566	15	20	14	22
Interval_1374	XVI	66822	67812	+	991	20	23	25	15
Interval_1375	XVI	74572	75548	+	977	58	34	38	48
Interval_1376	XVI	76358	76605	+	248	26	26	20	22
Interval_1377	XVI	96389	96772	+	384	3	11	12	3
Interval_1378	XVI	98779	99537	+	759	18	19	8	3
Interval_1379	XVI	102650	103109	+	460	10	4	2	1
Interval_1380	XVI	105540	107083	+	1544	29	28	21	17
Interval_1381	XVI	108370	108627	+	258	12	12	9	7
Interval_1382	XVI	110991	111272	+	282	8	1	0	2
Interval_1383	XVI	114193	115708	+	1516	22	60	56	18
Interval_1384	XVI	129744	130178	+	435	3	18	15	0
Interval_1385	XVI	132074	133129	+	1056	20	31	45	16
Interval_1386	XVI	163706	164017	+	312	4	11	9	7
Interval_1387	XVI	174408	174876	+	469	2	3	5	8
Interval_1388	XVI	184425	184630	+	206	0	2	4	0
Interval_1389	XVI	188653	189115	+	463	14	15	10	8
Interval_1390	XVI	202710	203104	+	395	4	9	10	6
Interval_1391	XVI	207395	207790	+	396	10	5	5	4
Interval_1392	XVI	214204	215681	+	1478	73	77	90	72
Interval_1393	XVI	227611	228087	+	477	14	16	17	12
Interval_1394	XVI	246341	246756	+	416	6	10	6	3
Interval_1395	XVI	256954	257352	+	399	19	16	19	7
Interval_1396	XVI	264438	264888	+	451	3	12	18	2
Interval_1397	XVI	280092	280412	+	321	17	17	12	3
Interval_1398	XVI	281511	282090	+	580	31	26	28	17
Interval_1399	XVI	296824	297391	+	568	22	29	25	15
Interval_1400	XVI	302808	303028	+	221	8	6	3	5
Interval_1401	XVI	309679	310153	+	475	10	16	9	7
Interval_1402	XVI	321781	321995	+	215	2	6	1	2
Interval_1403	XVI	338795	340909	+	2115	66	71	78	37
Interval_1404	XVI	364517	365076	+	560	4	12	7	1
Interval_1405	XVI	369224	369662	+	439	3	7	10	3
Interval_1406	XVI	370545	371008	+	464	9	14	13	7
Interval_1407	XVI	378382	378881	+	500	21	14	25	16
Interval_1408	XVI	381178	381562	+	385	8	4	14	3
Interval_1409	XVI	404186	404698	+	513	17	20	18	12
Interval_1410	XVI	406113	406566	+	454	23	22	18	21
Interval_1411	XVI	408885	409179	+	295	6	16	15	6
Interval_1412	XVI	411623	412156	+	534	10	14	15	9
Interval_1413	XVI	425050	426205	+	1156	49	57	62	39
Interval_1414	XVI	431436	432828	+	1393	49	86	85	35
Interval_1415	XVI	450823	451450	+	628	19	23	30	15
Interval_1416	XVI	453293	454041	+	749	26	35	28	10
Interval_1417	XVI	455027	455340	+	314	14	14	30	9
Interval_1418	XVI	456306	456715	+	410	1	9	1	2
Interval_1419	XVI	463577	464167	+	591	9	13	7	4
Interval_1420	XVI	475540	475824	+	285	2	8	2	2
Interval_1421	XVI	482115	482327	+	213	9	6	9	4
Interval_1422	XVI	493132	493383	+	252	4	9	3	1
Interval_1423	XVI	497579	498011	+	433	5	23	20	9
Interval_1424	XVI	502326	503323	+	998	50	71	61	31
Interval_1425	XVI	520334	520618	+	285	15	14	20	8
Interval_1426	XVI	526804	527645	+	842	6	34	33	10
Interval_1427	XVI	534715	534907	+	193	3	6	8	1
Interval_1428	XVI	551798	552153	+	356	2	15	17	4
Interval_1429	XVI	566806	567067	+	262	5	19	10	6
Interval_1430	XVI	572297	572705	+	409	10	14	8	9
Interval_1431	XVI	581464	582426	+	963	16	14	9	15
Interval_1432	XVI	586024	587485	+	1462	31	34	34	27
Interval_1433	XVI	591269	591496	+	228	9	10	4	6
Interval_1434	XVI	594036	594228	+	193	2	6	7	3
Interval_1435	XVI	627109	627674	+	566	13	17	16	5
Interval_1436	XVI	641189	641921	+	733	44	61	61	38
Interval_1437	XVI	645004	647603	+	2600	59	78	109	29
Interval_1438	XVI	653804	654080	+	277	17	12	18	7
Interval_1439	XVI	664833	665108	+	276	4	7	9	6
Interval_1440	XVI	666103	666403	+	301	3	7	9	3
Interval_1441	XVI	678439	679386	+	948	42	56	53	32
Interval_1442	XVI	682037	682694	+	658	4	15	6	3
Interval_1443	XVI	689659	689892	+	234	14	12	5	5
Interval_1444	XVI	694841	695772	+	932	24	33	17	14
Interval_1445	XVI	698693	698914	+	222	0	6	2	2
Interval_1446	XVI	699983	700462	+	480	20	20	12	25
Interval_1447	XVI	701300	701469	+	170	8	1	3	3
Interval_1448	XVI	731891	732163	+	273	9	24	9	15
Interval_1449	XVI	744192	745221	+	1030	10	17	6	8
Interval_1450	XVI	752105	752334	+	230	8	3	4	2
Interval_1451	XVI	769099	769286	+	188	7	1	5	4
Interval_1452	XVI	770667	771033	+	367	16	14	6	13
Interval_1453	XVI	775455	776083	+	629	19	14	15	13
Interval_1454	XVI	789652	789835	+	184	3	12	5	4
Interval_1455	XVI	792373	792586	+	214	7	7	12	3
Interval_1456	XVI	794527	794893	+	367	25	20	27	17
Interval_1457	XVI	812591	813044	+	454	14	16	15	15
Interval_1458	XVI	821562	822604	+	1043	35	39	36	25
Interval_1459	XVI	825304	825499	+	196	2	3	9	3
Interval_1460	XVI	828315	829601	+	1287	38	69	60	27
Interval_1461	XVI	840189	841546	+	1358	35	39	29	21
Interval_1462	XVI	855729	857249	+	1521	43	30	31	22
Interval_1463	XVI	860148	860792	+	645	23	22	39	8
Interval_1464	XVI	870088	870568	+	481	10	8	6	1
Interval_1465	XVI	882862	883336	+	475	11	4	2	5
Interval_1466	XVI	887745	887978	+	234	2	8	4	3
Interval_1467	XVI	899854	900074	+	221	3	2	6	5
Interval_1468	XVI	900075	900493	+	419	11	2	5	5
Interval_1469	XVI	901623	901882	+	260	10	27	16	7
Interval_1470	XVI	920789	921411	+	623	10	22	15	4
Interval_1471	XVI	927659	929013	+	1355	38	47	21	32
Interval_1472	XVI	942471	942926	+	456	22	17	15	23
