Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
NA	promoter-TSS (YIL074C)	protein_coding-promoter-TSS (YIL074C)	-253	YIL074C	YIL074C	YIL074C			SER33			protein_coding
NA	promoter-TSS (YIL068W-A)	protein_coding-promoter-TSS (YIL068W-A)	-317	YIL069C	YIL069C	YIL069C			RPS24B			protein_coding
NA	promoter-TSS (YIL056W)	protein_coding-promoter-TSS (YIL056W)	452	tS(UGA)I	tS(UGA)I	tS(UGA)I			SUP17			tRNA
NA	promoter-TSS (YIL053W)	protein_coding-promoter-TSS (YIL053W)	-240	YIL053W	YIL053W	YIL053W			GPP1			protein_coding
NA	promoter-TSS (YIL050W)	protein_coding-promoter-TSS (YIL050W)	271	YIL051C	YIL051C	YIL051C			MMF1			protein_coding
NA	promoter-TSS (YIL046W)	protein_coding-promoter-TSS (YIL046W)	65	YIL046W-A	YIL046W-A	YIL046W-A			YIL046W-A			protein_coding
NA	promoter-TSS (YIL031W)	protein_coding-promoter-TSS (YIL031W)	191	YIL032C	YIL032C	YIL032C			YIL032C			protein_coding
NA	promoter-TSS (YIL022W)	protein_coding-promoter-TSS (YIL022W)	-136	YIL022W	YIL022W	YIL022W			TIM44			protein_coding
NA	promoter-TSS (YIL018W)	protein_coding-promoter-TSS (YIL018W)	-307	YIL018W	YIL018W	YIL018W			RPL2B			protein_coding
NA	promoter-TSS (YIL015W)	protein_coding-promoter-TSS (YIL015W)	-190	YIL015W	YIL015W	YIL015W			BAR1			protein_coding
NA	promoter-TSS (YIL014C-A)	protein_coding-promoter-TSS (YIL014C-A)	98	tT(AGU)I2	tT(AGU)I2	tT(AGU)I2			tT(AGU)I2			tRNA
NA	promoter-TSS (YIL011W)	protein_coding-promoter-TSS (YIL011W)	96	YIL012W	YIL012W	YIL012W			YIL012W			protein_coding
NA	promoter-TSS (YIL009C-A)	protein_coding-promoter-TSS (YIL009C-A)	-7	YIL009C-A	YIL009C-A	YIL009C-A			EST3			protein_coding
NA	promoter-TSS (YIL009W)	protein_coding-promoter-TSS (YIL009W)	-560	YIL009W	YIL009W	YIL009W			FAA3			protein_coding
NA	promoter-TSS (YIL006W)	protein_coding-promoter-TSS (YIL006W)	-10	YIL006W	YIL006W	YIL006W			YIA6			protein_coding
NA	promoter-TSS (YIL003W)	protein_coding-promoter-TSS (YIL003W)	-304	YIL003W	YIL003W	YIL003W			CFD1			protein_coding
NA	promoter-TSS (YIR002C)	protein_coding-promoter-TSS (YIR002C)	-103	YIR002C	YIR002C	YIR002C			MPH1			protein_coding
NA	promoter-TSS (YIR006C)	protein_coding-promoter-TSS (YIR006C)	-187	tE(UUC)I	tE(UUC)I	tE(UUC)I			tE(UUC)I			tRNA
NA	promoter-TSS (YIR011C)	protein_coding-promoter-TSS (YIR011C)	-22	YIR012W	YIR012W	YIR012W			SQT1			protein_coding
NA	promoter-TSS (YIR016W)	protein_coding-promoter-TSS (YIR016W)	275	YIR015W	YIR015W	YIR015W			RPR2			protein_coding
NA	promoter-TSS (YIR017C)	protein_coding-promoter-TSS (YIR017C)	-144	YIR017C	YIR017C	YIR017C			MET28			protein_coding
NA	promoter-TSS (YIR018C-A)	protein_coding-promoter-TSS (YIR018C-A)	-867	YIR018C-A	YIR018C-A	YIR018C-A			YIR018C-A			protein_coding
NA	TTS (YIR019C)	protein_coding-TTS (YIR019C)	-3171	YIR018C-A	YIR018C-A	YIR018C-A			YIR018C-A			protein_coding
NA	promoter-TSS (PWR1)	ncRNA-promoter-TSS (PWR1)	126	YIR020W-A	YIR020W-A	YIR020W-A			YIR020W-A			protein_coding
NA	promoter-TSS (YIR032C)	protein_coding-promoter-TSS (YIR032C)	-243	YIR033W	YIR033W	YIR033W			MGA2			protein_coding
NA	promoter-TSS (YIR035C)	protein_coding-promoter-TSS (YIR035C)	-20	YIR035C	YIR035C	YIR035C			YIR035C			protein_coding
NA	Intergenic	Intergenic	-2940	YIR038C	YIR038C	YIR038C			GTT1			protein_coding
NA	Intergenic	Intergenic	-1210	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
NA	Intergenic	Intergenic	-1492	Q0010	Q0010	Q0010			Q0010			protein_coding
NA	exon (Q0050, exon 1 of 1)	protein_coding-exon (Q0050, exon 1 of 1)	1474	Q0055	Q0055	Q0055			AI2			protein_coding
NA	TTS (Q0055)	protein_coding-TTS (Q0055)	-4428	Q0075	Q0075	Q0075			AI5_BETA			protein_coding
NA	exon (Q0045, exon 8 of 8)	protein_coding-exon (Q0045, exon 8 of 8)	-1341	Q0080	Q0080	Q0080			ATP8			protein_coding
NA	exon (Q0085, exon 1 of 1)	protein_coding-exon (Q0085, exon 1 of 1)	386	Q0085	Q0085	Q0085			ATP6			protein_coding
NA	exon (Q0105, exon 1 of 6)	protein_coding-exon (Q0105, exon 1 of 6)	252	Q0120	Q0120	Q0120			BI4			protein_coding
NA	exon (Q0120, exon 4 of 4)	protein_coding-exon (Q0120, exon 4 of 4)	4835	Q0120	Q0120	Q0120			BI4			protein_coding
NA	exon (Q0105, exon 6 of 6)	protein_coding-exon (Q0105, exon 6 of 6)	-3362	Q0130	Q0130	Q0130			OLI1			protein_coding
NA	Intergenic	Intergenic	1737	Q0144	Q0144	Q0144			Q0144			protein_coding
NA	promoter-TSS (Q0160)	protein_coding-promoter-TSS (Q0160)	85	Q0160	Q0160	Q0160			SCEI			protein_coding
NA	TTS (tC(GCA)Q)	tRNA-TTS (tC(GCA)Q)	170	tH(GUG)Q	tH(GUG)Q	tH(GUG)Q			tH(GUG)Q			tRNA
NA	promoter-TSS (Q0255)	protein_coding-promoter-TSS (Q0255)	334	Q0250	Q0250	Q0250			COX2			protein_coding
NA	promoter-TSS (Q0275)	protein_coding-promoter-TSS (Q0275)	-73	tT(XXX)Q2	tT(XXX)Q2	tT(XXX)Q2			tT(XXX)Q2			tRNA
NA	exon (Q0275, exon 1 of 1)	protein_coding-exon (Q0275, exon 1 of 1)	396	Q0275	Q0275	Q0275			COX3			protein_coding
NA	promoter-TSS (YEL077W-A)	protein_coding-promoter-TSS (YEL077W-A)	-284	YEL077W-A	YEL077W-A	YEL077W-A			YEL077W-A			protein_coding
NA	promoter-TSS (YEL075C)	protein_coding-promoter-TSS (YEL075C)	368	YEL074W	YEL074W	YEL074W			YEL074W			protein_coding
NA	promoter-TSS (YEL072W)	protein_coding-promoter-TSS (YEL072W)	-389	YEL072W	YEL072W	YEL072W			RMD6			protein_coding
NA	promoter-TSS (YEL071W)	protein_coding-promoter-TSS (YEL071W)	-133	YEL071W	YEL071W	YEL071W			DLD3			protein_coding
NA	promoter-TSS (YEL070W)	protein_coding-promoter-TSS (YEL070W)	-544	YEL070W	YEL070W	YEL070W			DSF1			protein_coding
NA	promoter-TSS (YEL062W)	protein_coding-promoter-TSS (YEL062W)	-441	YEL062W	YEL062W	YEL062W			NPR2			protein_coding
NA	promoter-TSS (YEL058W)	protein_coding-promoter-TSS (YEL058W)	205	YEL059C-A	YEL059C-A	YEL059C-A			SOM1			protein_coding
NA	promoter-TSS (YEL055C)	protein_coding-promoter-TSS (YEL055C)	-271	YEL055C	YEL055C	YEL055C			POL5			protein_coding
NA	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-406	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
NA	promoter-TSS (YEL052W)	protein_coding-promoter-TSS (YEL052W)	-120	YEL052W	YEL052W	YEL052W			AFG1			protein_coding
NA	promoter-TSS (YEL050C)	protein_coding-promoter-TSS (YEL050C)	-71	snR67	snR67	snR67			snR67			snoRNA
NA	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	-17	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
NA	promoter-TSS (YEL038W)	protein_coding-promoter-TSS (YEL038W)	-235	YEL039C	YEL039C	YEL039C			CYC7			protein_coding
NA	promoter-TSS (YEL033W)	protein_coding-promoter-TSS (YEL033W)	85	YEL034W	YEL034W	YEL034W			HYP2			protein_coding
NA	promoter-TSS (YEL027W)	protein_coding-promoter-TSS (YEL027W)	-120	tM(CAU)E	tM(CAU)E	tM(CAU)E			IMT4			tRNA
NA	promoter-TSS (YEL024W)	protein_coding-promoter-TSS (YEL024W)	-506	YEL024W	YEL024W	YEL024W			RIP1			protein_coding
NA	promoter-TSS (YEL020C-B)	protein_coding-promoter-TSS (YEL020C-B)	213	RPR1	RPR1	RPR1			RPR1			ncRNA
NA	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-213	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
NA	TTS (YEL016C)	protein_coding-TTS (YEL016C)	884	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
NA	promoter-TSS (YEL012W)	protein_coding-promoter-TSS (YEL012W)	-265	tQ(UUG)E2	tQ(UUG)E2	tQ(UUG)E2			tQ(UUG)E2			tRNA
NA	promoter-TSS (YEL010W)	protein_coding-promoter-TSS (YEL010W)	19	tK(CUU)E1	tK(CUU)E1	tK(CUU)E1			tK(CUU)E1			tRNA
NA	promoter-TSS (YEL007W)	protein_coding-promoter-TSS (YEL007W)	-302	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
NA	promoter-TSS (YEL003W)	protein_coding-promoter-TSS (YEL003W)	-226	YEL003W	YEL003W	YEL003W			GIM4			protein_coding
NA	promoter-TSS (YEL002C)	protein_coding-promoter-TSS (YEL002C)	-43	YEL002C	YEL002C	YEL002C			WBP1			protein_coding
NA	promoter-TSS (YER001W)	protein_coding-promoter-TSS (YER001W)	-641	YER001W	YER001W	YER001W			MNN1			protein_coding
NA	promoter-TSS (YER007C-A)	protein_coding-promoter-TSS (YER007C-A)	288	snR14	snR14	snR14			snR14			snRNA
NA	promoter-TSS (YER011W)	protein_coding-promoter-TSS (YER011W)	-458	YER011W	YER011W	YER011W			TIR1			protein_coding
NA	promoter-TSS (YER012W)	protein_coding-promoter-TSS (YER012W)	296	tE(UUC)E1	tE(UUC)E1	tE(UUC)E1			tE(UUC)E1			tRNA
NA	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	277	YER018C	YER018C	YER018C			SPC25			protein_coding
NA	promoter-TSS (YER019C-A)	protein_coding-promoter-TSS (YER019C-A)	-154	YER020W	YER020W	YER020W			GPA2			protein_coding
NA	promoter-TSS (YER026C)	protein_coding-promoter-TSS (YER026C)	-240	YER026C	YER026C	YER026C			CHO1			protein_coding
NA	promoter-TSS (YER028C)	protein_coding-promoter-TSS (YER028C)	-420	YER028C	YER028C	YER028C			MIG3			protein_coding
NA	promoter-TSS (YER033C)	protein_coding-promoter-TSS (YER033C)	230	YER034W	YER034W	YER034W			YER034W			protein_coding
NA	promoter-TSS (YER036C)	protein_coding-promoter-TSS (YER036C)	-333	YER037W	YER037W	YER037W			PHM8			protein_coding
NA	promoter-TSS (YER044C)	protein_coding-promoter-TSS (YER044C)	-519	YER044C	YER044C	YER044C			ERG28			protein_coding
NA	promoter-TSS (YER045C)	protein_coding-promoter-TSS (YER045C)	-723	YER046W	YER046W	YER046W			SPO73			protein_coding
NA	promoter-TSS (YER053C)	protein_coding-promoter-TSS (YER053C)	-473	YER053C	YER053C	YER053C			PIC2			protein_coding
NA	promoter-TSS (YER053C-A)	protein_coding-promoter-TSS (YER053C-A)	-499	YER053C-A	YER053C-A	YER053C-A			YER053C-A			protein_coding
NA	promoter-TSS (YER054C)	protein_coding-promoter-TSS (YER054C)	-687	YER054C	YER054C	YER054C			GIP2			protein_coding
NA	promoter-TSS (YER055C)	protein_coding-promoter-TSS (YER055C)	-546	YER055C	YER055C	YER055C			HIS1			protein_coding
NA	promoter-TSS (YER056C)	protein_coding-promoter-TSS (YER056C)	-619	YER056C	YER056C	YER056C			FCY2			protein_coding
NA	promoter-TSS (YER056C-A)	protein_coding-promoter-TSS (YER056C-A)	-223	YER056C-A	YER056C-A	YER056C-A			RPL34A			protein_coding
NA	promoter-TSS (YER057C)	protein_coding-promoter-TSS (YER057C)	310	YER058W	YER058W	YER058W			PET117			protein_coding
NA	TTS (YER062C)	protein_coding-TTS (YER062C)	332	YER061C	YER061C	YER061C			CEM1			protein_coding
NA	promoter-TSS (YER062C)	protein_coding-promoter-TSS (YER062C)	-282	YER062C	YER062C	YER062C			GPP2			protein_coding
NA	promoter-TSS (YER064C)	protein_coding-promoter-TSS (YER064C)	-533	YER064C	YER064C	YER064C			VHR2			protein_coding
NA	promoter-TSS (YER067W)	protein_coding-promoter-TSS (YER067W)	-548	YER067W	YER067W	YER067W			RGI1			protein_coding
NA	promoter-TSS (YER066C-A)	protein_coding-promoter-TSS (YER066C-A)	-243	YER067C-A	YER067C-A	YER067C-A			YER067C-A			protein_coding
NA	promoter-TSS (YER069W)	protein_coding-promoter-TSS (YER069W)	1	YER069W	YER069W	YER069W			ARG5,6			protein_coding
NA	promoter-TSS (YER070W)	protein_coding-promoter-TSS (YER070W)	-547	YER070W	YER070W	YER070W			RNR1			protein_coding
NA	promoter-TSS (YER071C)	protein_coding-promoter-TSS (YER071C)	381	YER072W	YER072W	YER072W			VTC1			protein_coding
NA	promoter-TSS (YER074W)	protein_coding-promoter-TSS (YER074W)	-681	YER074W	YER074W	YER074W			RPS24A			protein_coding
NA	promoter-TSS (YER075C)	protein_coding-promoter-TSS (YER075C)	402	tA(UGC)E	tA(UGC)E	tA(UGC)E			tA(UGC)E			tRNA
NA	promoter-TSS (SRG1)	ncRNA-promoter-TSS (SRG1)	-55	SRG1	SRG1	SRG1			SRG1			ncRNA
NA	promoter-TSS (YER085C)	protein_coding-promoter-TSS (YER085C)	-57	YER086W	YER086W	YER086W			ILV1			protein_coding
NA	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-118	YER088W-B	YER088W-B	YER088W-B			YER088W-B			protein_coding
NA	promoter-TSS (YER091C)	protein_coding-promoter-TSS (YER091C)	100	YER092W	YER092W	YER092W			IES5			protein_coding
NA	promoter-TSS (YER094C)	protein_coding-promoter-TSS (YER094C)	-299	YER094C	YER094C	YER094C			PUP3			protein_coding
NA	promoter-TSS (YER097W)	protein_coding-promoter-TSS (YER097W)	-365	tE(UUC)E2	tE(UUC)E2	tE(UUC)E2			tE(UUC)E2			tRNA
NA	promoter-TSS (YER101C)	protein_coding-promoter-TSS (YER101C)	-630	YER102W	YER102W	YER102W			RPS8B			protein_coding
NA	promoter-TSS (YER111C)	protein_coding-promoter-TSS (YER111C)	-514	YER112W	YER112W	YER112W			LSM4			protein_coding
NA	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-294	YER117W	YER117W	YER117W			RPL23B			protein_coding
NA	promoter-TSS (YER119C)	protein_coding-promoter-TSS (YER119C)	-106	YER119C	YER119C	YER119C			AVT6			protein_coding
NA	promoter-TSS (YER124C)	protein_coding-promoter-TSS (YER124C)	-106	YER124C	YER124C	YER124C			DSE1			protein_coding
NA	TTS (YER125W)	protein_coding-TTS (YER125W)	1095	YER126C	YER126C	YER126C			NSA2			protein_coding
NA	promoter-TSS (YER130C)	protein_coding-promoter-TSS (YER130C)	-383	YER130C	YER130C	YER130C			COM2			protein_coding
NA	TTS (YER131W)	protein_coding-TTS (YER131W)	191	snR4	snR4	snR4			snR4			snoRNA
NA	promoter-TSS (YER132C)	protein_coding-promoter-TSS (YER132C)	75	snR52	snR52	snR52			snR52			snoRNA
NA	promoter-TSS (tH(GUG)E2)	tRNA-promoter-TSS (tH(GUG)E2)	79	tH(GUG)E2	tH(GUG)E2	tH(GUG)E2			tH(GUG)E2			tRNA
NA	promoter-TSS (tK(CUU)E2)	tRNA-promoter-TSS (tK(CUU)E2)	-18	tK(CUU)E2	tK(CUU)E2	tK(CUU)E2			tK(CUU)E2			tRNA
NA	promoter-TSS (YER135C)	protein_coding-promoter-TSS (YER135C)	-450	YER136W	YER136W	YER136W			GDI1			protein_coding
NA	promoter-TSS (YER137C)	protein_coding-promoter-TSS (YER137C)	522	SCR1	SCR1	SCR1			SCR1			ncRNA
NA	promoter-TSS (YER145C)	protein_coding-promoter-TSS (YER145C)	-57	YER146W	YER146W	YER146W			LSM5			protein_coding
NA	promoter-TSS (YER149C)	protein_coding-promoter-TSS (YER149C)	-436	YER149C	YER149C	YER149C			PEA2			protein_coding
NA	promoter-TSS (tV(AAC)E2)	tRNA-promoter-TSS (tV(AAC)E2)	-196	tV(AAC)E2	tV(AAC)E2	tV(AAC)E2			tV(AAC)E2			tRNA
NA	TTS (YER152C)	protein_coding-TTS (YER152C)	204	YER151C	YER151C	YER151C			UBP3			protein_coding
NA	promoter-TSS (YER152C)	protein_coding-promoter-TSS (YER152C)	351	YER153C	YER153C	YER153C			PET122			protein_coding
NA	promoter-TSS (YER155C)	protein_coding-promoter-TSS (YER155C)	-228	YER155C	YER155C	YER155C			BEM2			protein_coding
NA	promoter-TSS (YER158C)	protein_coding-promoter-TSS (YER158C)	-269	YER158W-A	YER158W-A	YER158W-A			YER158W-A			protein_coding
NA	promoter-TSS (YER159C)	protein_coding-promoter-TSS (YER159C)	140	tR(ACG)E	tR(ACG)E	tR(ACG)E			tR(ACG)E			tRNA
NA	promoter-TSS (YER168C)	protein_coding-promoter-TSS (YER168C)	-292	YER168C	YER168C	YER168C			CCA1			protein_coding
NA	promoter-TSS (YER170W)	protein_coding-promoter-TSS (YER170W)	-433	YER170W	YER170W	YER170W			ADK2			protein_coding
NA	promoter-TSS (YER177W)	protein_coding-promoter-TSS (YER177W)	-579	YER177W	YER177W	YER177W			BMH1			protein_coding
NA	TTS (YER177W)	protein_coding-TTS (YER177W)	188	YER178W	YER178W	YER178W			PDA1			protein_coding
NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-160	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
NA	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-167	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
NA	promoter-TSS (YFL055W)	protein_coding-promoter-TSS (YFL055W)	-281	YFL055W	YFL055W	YFL055W			AGP3			protein_coding
NA	promoter-TSS (YFL052W)	protein_coding-promoter-TSS (YFL052W)	-275	YFL052W	YFL052W	YFL052W			YFL052W			protein_coding
NA	Intergenic	Intergenic	-1476	YFL051C	YFL051C	YFL051C			YFL051C			protein_coding
NA	TTS (YFL041W-A)	protein_coding-TTS (YFL041W-A)	359	YFL041W	YFL041W	YFL041W			FET5			protein_coding
NA	promoter-TSS (YFL039C)	protein_coding-promoter-TSS (YFL039C)	-164	YFL039C	YFL039C	YFL039C			ACT1			protein_coding
NA	promoter-TSS (YFL037W)	protein_coding-promoter-TSS (YFL037W)	-4	YFL037W	YFL037W	YFL037W			TUB2			protein_coding
NA	promoter-TSS (YFL031W)	protein_coding-promoter-TSS (YFL031W)	-10	YFL032W	YFL032W	YFL032W			YFL032W			protein_coding
NA	promoter-TSS (YFL030W)	protein_coding-promoter-TSS (YFL030W)	-270	YFL030W	YFL030W	YFL030W			AGX1			protein_coding
NA	promoter-TSS (YFL026W)	protein_coding-promoter-TSS (YFL026W)	-272	YFL027C	YFL027C	YFL027C			GYP8			protein_coding
NA	promoter-TSS (YFL023W)	protein_coding-promoter-TSS (YFL023W)	-286	YFL024C	YFL024C	YFL024C			EPL1			protein_coding
NA	promoter-TSS (YFL021W)	protein_coding-promoter-TSS (YFL021W)	-409	YFL021W	YFL021W	YFL021W			GAT1			protein_coding
NA	promoter-TSS (YFL019C)	protein_coding-promoter-TSS (YFL019C)	-59	tP(UGG)F	tP(UGG)F	tP(UGG)F			SUF9			tRNA
NA	promoter-TSS (YFL017W-A)	protein_coding-promoter-TSS (YFL017W-A)	-190	YFL017W-A	YFL017W-A	YFL017W-A			SMX2			protein_coding
NA	promoter-TSS (YFL013W-A)	protein_coding-promoter-TSS (YFL013W-A)	-26	YFL015C	YFL015C	YFL015C			YFL015C			protein_coding
NA	promoter-TSS (YFR015C)	protein_coding-promoter-TSS (YFR015C)	-457	YFR015C	YFR015C	YFR015C			GSY1			protein_coding
NA	promoter-TSS (YFR017C)	protein_coding-promoter-TSS (YFR017C)	-453	YFR017C	YFR017C	YFR017C			IGD1			protein_coding
NA	TTS (YFR019W)	protein_coding-TTS (YFR019W)	200	tS(GCU)F	tS(GCU)F	tS(GCU)F			tS(GCU)F			tRNA
NA	promoter-TSS (YFR025C)	protein_coding-promoter-TSS (YFR025C)	42	tA(AGC)F	tA(AGC)F	tA(AGC)F			tA(AGC)F			tRNA
NA	promoter-TSS (YFR027W)	protein_coding-promoter-TSS (YFR027W)	30	YFR027W	YFR027W	YFR027W			ECO1			protein_coding
NA	promoter-TSS (YFR031C)	protein_coding-promoter-TSS (YFR031C)	71	YFR031C	YFR031C	YFR031C			SMC2			protein_coding
NA	promoter-TSS (YFR031C-A)	protein_coding-promoter-TSS (YFR031C-A)	492	RUF23	RUF23	RUF23			RUF23			ncRNA
NA	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	529	YFR034C	YFR034C	YFR034C			PHO4			protein_coding
NA	promoter-TSS (YFR049W)	protein_coding-promoter-TSS (YFR049W)	-461	YFR049W	YFR049W	YFR049W			YMR31			protein_coding
NA	promoter-TSS (YFR051C)	protein_coding-promoter-TSS (YFR051C)	-147	YFR051C	YFR051C	YFR051C			RET2			protein_coding
NA	promoter-TSS (YFR053C)	protein_coding-promoter-TSS (YFR053C)	-855	YFR053C	YFR053C	YFR053C			HXK1			protein_coding
NA	promoter-TSS (YFR055W)	protein_coding-promoter-TSS (YFR055W)	-761	YFR055W	YFR055W	YFR055W			IRC7			protein_coding
NA	Intergenic	Intergenic	-2501	YGL263W	YGL263W	YGL263W			COS12			protein_coding
NA	promoter-TSS (YGL258W)	protein_coding-promoter-TSS (YGL258W)	-887	YGL258W	YGL258W	YGL258W			VEL1			protein_coding
NA	promoter-TSS (YGL253W)	protein_coding-promoter-TSS (YGL253W)	-477	YGL253W	YGL253W	YGL253W			HXK2			protein_coding
NA	promoter-TSS (YGL248W)	protein_coding-promoter-TSS (YGL248W)	-345	YGL248W	YGL248W	YGL248W			PDE1			protein_coding
NA	promoter-TSS (YGL234W)	protein_coding-promoter-TSS (YGL234W)	-286	YGL236C	YGL236C	YGL236C			MTO1			protein_coding
NA	promoter-TSS (YGL228W)	protein_coding-promoter-TSS (YGL228W)	-316	YGL229C	YGL229C	YGL229C			SAP4			protein_coding
NA	promoter-TSS (YGL226C-A)	protein_coding-promoter-TSS (YGL226C-A)	-221	tV(AAC)G3	tV(AAC)G3	tV(AAC)G3			tV(AAC)G3			tRNA
NA	promoter-TSS (YGL225W)	protein_coding-promoter-TSS (YGL225W)	-224	YGL225W	YGL225W	YGL225W			VRG4			protein_coding
NA	promoter-TSS (YGL209W)	protein_coding-promoter-TSS (YGL209W)	-645	YGL209W	YGL209W	YGL209W			MIG2			protein_coding
NA	promoter-TSS (tH(GUG)G1)	tRNA-promoter-TSS (tH(GUG)G1)	4	tH(GUG)G1	tH(GUG)G1	tH(GUG)G1			tH(GUG)G1			tRNA
NA	promoter-TSS (YGL202W)	protein_coding-promoter-TSS (YGL202W)	127	tK(UUU)G1	tK(UUU)G1	tK(UUU)G1			tK(UUU)G1			tRNA
NA	promoter-TSS (tK(CUU)G1)	tRNA-promoter-TSS (tK(CUU)G1)	-38	tK(CUU)G1	tK(CUU)G1	tK(CUU)G1			tK(CUU)G1			tRNA
NA	promoter-TSS (YGL197W)	protein_coding-promoter-TSS (YGL197W)	-234	YGL197W	YGL197W	YGL197W			MDS3			protein_coding
NA	promoter-TSS (YGL191W)	protein_coding-promoter-TSS (YGL191W)	-372	YGL191W	YGL191W	YGL191W			COX13			protein_coding
NA	promoter-TSS (YGL188C-A)	protein_coding-promoter-TSS (YGL188C-A)	-257	YGL188C-A	YGL188C-A	YGL188C-A			YGL188C-A			protein_coding
NA	promoter-TSS (YGL180W)	protein_coding-promoter-TSS (YGL180W)	-823	YGL180W	YGL180W	YGL180W			ATG1			protein_coding
NA	promoter-TSS (YGL180W)	protein_coding-promoter-TSS (YGL180W)	-593	YGL180W	YGL180W	YGL180W			ATG1			protein_coding
NA	promoter-TSS (YGL179C)	protein_coding-promoter-TSS (YGL179C)	-778	YGL179C	YGL179C	YGL179C			TOS3			protein_coding
NA	promoter-TSS (YGL166W)	protein_coding-promoter-TSS (YGL166W)	-282	YGL167C	YGL167C	YGL167C			PMR1			protein_coding
NA	promoter-TSS (YGL162W)	protein_coding-promoter-TSS (YGL162W)	-540	YGL162W	YGL162W	YGL162W			SUT1			protein_coding
NA	promoter-TSS (YGL160W)	protein_coding-promoter-TSS (YGL160W)	-66	YGL161C	YGL161C	YGL161C			YIP5			protein_coding
NA	promoter-TSS (tL(CAA)G1)	tRNA-promoter-TSS (tL(CAA)G1)	-19	tL(CAA)G1	tL(CAA)G1	tL(CAA)G1			tL(CAA)G1			tRNA
NA	promoter-TSS (YGL158W)	protein_coding-promoter-TSS (YGL158W)	-475	YGL158W	YGL158W	YGL158W			RCK1			protein_coding
NA	promoter-TSS (YGL147C)	protein_coding-promoter-TSS (YGL147C)	-268	YGL147C	YGL147C	YGL147C			RPL9A			protein_coding
NA	promoter-TSS (YGL145W)	protein_coding-promoter-TSS (YGL145W)	-238	YGL145W	YGL145W	YGL145W			TIP20			protein_coding
NA	promoter-TSS (YGL135W)	protein_coding-promoter-TSS (YGL135W)	-213	YGL135W	YGL135W	YGL135W			RPL1B			protein_coding
NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	-574	YGL125W	YGL125W	YGL125W			MET13			protein_coding
NA	promoter-TSS (YGL123W)	protein_coding-promoter-TSS (YGL123W)	-449	YGL123W	YGL123W	YGL123W			RPS2			protein_coding
NA	promoter-TSS (YGL122C)	protein_coding-promoter-TSS (YGL122C)	128	YGL121C	YGL121C	YGL121C			GPG1			protein_coding
NA	promoter-TSS (YGL119W)	protein_coding-promoter-TSS (YGL119W)	-174	YGL119W	YGL119W	YGL119W			COQ8			protein_coding
NA	promoter-TSS (tW(CCA)G1)	tRNA-promoter-TSS (tW(CCA)G1)	51	tW(CCA)G1	tW(CCA)G1	tW(CCA)G1			tW(CCA)G1			tRNA
NA	promoter-TSS (YGL101W)	protein_coding-promoter-TSS (YGL101W)	-97	YGL102C	YGL102C	YGL102C			YGL102C			protein_coding
NA	promoter-TSS (tH(GUG)G2)	tRNA-promoter-TSS (tH(GUG)G2)	82	tH(GUG)G2	tH(GUG)G2	tH(GUG)G2			tH(GUG)G2			tRNA
NA	Intergenic	Intergenic	-1037	YGL096W	YGL096W	YGL096W			TOS8			protein_coding
NA	promoter-TSS (YGL086W)	protein_coding-promoter-TSS (YGL086W)	459	snR10	snR10	snR10			snR10			snoRNA
NA	promoter-TSS (YGL076C)	protein_coding-promoter-TSS (YGL076C)	66	snR39B	snR39B	snR39B			snR39B			snoRNA
NA	promoter-TSS (YGL073W)	protein_coding-promoter-TSS (YGL073W)	-275	YGL073W	YGL073W	YGL073W			HSF1			protein_coding
NA	promoter-TSS (YGL071W)	protein_coding-promoter-TSS (YGL071W)	-12	YGL072C	YGL072C	YGL072C			YGL072C			protein_coding
NA	promoter-TSS (YGL062W)	protein_coding-promoter-TSS (YGL062W)	86	YGL063C-A	YGL063C-A	YGL063C-A			YGL063C-A			protein_coding
NA	promoter-TSS (YGL058W)	protein_coding-promoter-TSS (YGL058W)	-199	YGL058W	YGL058W	YGL058W			RAD6			protein_coding
NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	90	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
